Date,Open,High,Low,Close,Volume
05/11/2023,"224.00","225.00","223.00","224.20","323,910"
05/10/2023,"225.00","225.00","223.20","223.60","667,000"
05/09/2023,"225.00","225.00","223.00","225.00","180,240"
05/08/2023,"226.80","227.20","225.00","225.00","369,550"
05/05/2023,"225.60","228.00","225.60","226.00","241,730"
05/04/2023,"224.00","227.60","224.00","225.00","393,570"
05/03/2023,"226.00","228.40","224.00","224.00","741,250"
05/02/2023,"224.00","226.00","223.60","225.60","380,150"
04/28/2023,"219.00","225.00","219.00","225.00","691,140"
04/27/2023,"220.00","220.60","219.00","219.00","135,440"
04/26/2023,"221.00","221.00","217.00","219.20","446,860"
04/25/2023,"221.00","221.20","218.00","220.00","243,760"
04/24/2023,"219.40","221.00","217.20","221.00","622,270"
04/20/2023,"219.60","219.60","216.80","217.20","303,160"
04/19/2023,"217.00","219.80","216.20","219.80","294,630"
04/18/2023,"220.00","220.00","215.20","217.00","319,730"
04/17/2023,"215.00","219.60","214.80","219.60","494,920"
04/14/2023,"213.20","216.00","212.80","214.60","483,840"
04/13/2023,"213.00","215.00","212.00","212.80","1,153,420"
04/12/2023,"216.00","217.00","212.20","212.20","784,040"
04/11/2023,"223.00","223.00","215.20","216.20","1,180,010"
04/05/2023,"226.00","227.00","223.00","223.00","247,650"
04/04/2023,"227.00","229.00","225.00","226.00","578,830"
04/03/2023,"224.60","226.00","220.20","226.00","230,390"
03/31/2023,"223.40","225.00","222.20","224.00","518,640"
03/30/2023,"219.20","224.00","218.60","224.00","386,440"
03/29/2023,"224.20","224.20","218.60","219.00","1,102,860"
03/28/2023,"227.00","227.00","222.60","223.60","372,930"
03/27/2023,"225.20","227.00","222.60","226.00","122,010"
03/24/2023,"223.20","226.60","223.00","225.20","528,460"
03/23/2023,"226.80","227.00","223.00","223.00","750,790"
03/22/2023,"225.00","229.00","225.00","227.00","725,310"
03/21/2023,"222.20","224.80","222.20","224.40","320,960"
03/20/2023,"223.00","226.00","221.00","222.00","1,289,800"
03/17/2023,"219.00","224.00","218.60","223.00","1,280,590"
03/16/2023,"223.80","225.00","212.00","215.00","1,074,200"
03/15/2023,"220.00","226.80","220.00","224.00","384,920"
03/14/2023,"227.00","227.00","219.00","219.00","579,490"
03/13/2023,"226.20","228.00","226.00","227.20","366,930"
03/10/2023,"230.00","231.00","226.20","226.20","325,460"
03/09/2023,"232.00","234.80","229.40","230.00","264,600"
03/08/2023,"232.00","232.20","229.40","230.00","552,860"
03/07/2023,"232.00","235.00","232.00","232.20","400,860"
03/06/2023,"234.00","237.00","232.00","232.00","307,760"
03/03/2023,"231.40","236.40","231.40","234.00","473,500"
03/02/2023,"238.00","241.20","231.00","231.00","616,590"
03/01/2023,"239.00","239.00","236.00","238.00","367,530"
02/28/2023,"235.40","240.00","235.20","240.00","1,005,870"
02/27/2023,"237.00","238.00","234.20","235.20","715,530"
02/23/2023,"240.00","240.00","237.20","238.00","420,400"
02/22/2023,"241.80","241.80","237.40","240.00","295,660"
02/21/2023,"237.20","242.00","235.60","242.00","178,930"
02/20/2023,"240.00","240.00","237.00","237.00","235,260"
02/17/2023,"236.40","240.20","235.60","240.20","323,190"
02/16/2023,"239.00","242.40","236.00","238.60","223,610"
02/15/2023,"240.60","240.80","235.60","238.40","401,450"
02/14/2023,"240.20","244.40","240.00","241.00","595,470"
02/13/2023,"238.80","241.60","238.20","239.80","515,350"
02/10/2023,"240.80","241.00","238.00","238.80","505,680"
02/09/2023,"241.00","241.20","239.00","240.80","207,970"
02/08/2023,"239.00","243.00","238.20","242.00","214,070"
02/07/2023,"241.60","242.80","238.00","238.00","629,970"
02/06/2023,"245.40","245.60","240.40","245.00","440,640"
02/03/2023,"241.60","245.00","241.00","245.00","1,518,910"
02/02/2023,"244.00","244.00","241.00","242.00","711,080"
02/01/2023,"238.00","245.00","237.20","245.00","848,770"
